 [-1.42772823e+00  1.47960105e+00]
 [-1.40680274e+00  1.49226252e+00]
 [-1.39746023e+00  1.51732398e+00]
 [-1.38311379e+00  1.53724481e+00]
 [-1.35142252e+00  1.53761480e+00]
 [-1.33735979e+00  1.55778174e+00]
 [-1.32659517e+00  1.58210433e+00]
 [-1.28794378e+00  1.57280264e+00]
 [-1.24120170e+00  1.55220300e+00]
 [-1.20646178e+00  1.54526467e+00]
 [-1.15844636e+00  1.51987879e+00]
 [-1.11599249e+00  1.50004752e+00]
 [-1.09040087e+00  1.50180754e+00]
 [-1.04700277e+00  1.47788539e+00]
 [-1.00448224e+00  1.45340814e+00]
 [-9.83061263e-01  1.45838857e+00]
 [-9.27281480e-01  1.41076349e+00]
 [-9.16614307e-01  1.43050646e+00]
 [-8.84292002e-01  1.41604950e+00]
 [-8.38746826e-01  1.37854493e+00]
 [-8.17910287e-01  1.38019348e+00]
 [-7.85378122e-01  1.36114390e+00]
 [-7.64635675e-01  1.36153141e+00]
 [-7.42427313e-01  1.35875976e+00]
 [-7.23393872e-01  1.36131446e+00]
 [-7.03482155e-01  1.36183065e+00]
 [-6.89084633e-01  1.37288289e+00]
 [-6.80226636e-01  1.39548092e+00]
 [-6.65105582e-01  1.40573529e+00]
 [-6.56064350e-01  1.42939224e+00]
 [-6.36829247e-01  1.43115466e+00]
 [-6.21899075e-01  1.44253784e+00]
 [-6.10162322e-01  1.46184621e+00]
 [-5.89807077e-01  1.46063720e+00]
 [-5.78099319e-01  1.48102282e+00]
 [-5.63423367e-01  1.49450657e+00]
 [-5.47531341e-01  1.50515354e+00]
 [-5.29578097e-01  1.51024378e+00]
 [-5.18007445e-01  1.53415429e+00]
 [-5.01529345e-01  1.54438029e+00]
 [-4.85610213e-01  1.55676036e+00]
 [-4.69774415e-01  1.56999321e+00]
 [-4.51128156e-01  1.57410664e+00]
 [-4.34959695e-01  1.58715741e+00]
 [-4.15585909e-01  1.58871877e+00]
 [-3.98465615e-01  1.59899683e+00]
 [-3.87362054e-01  1.63526337e+00]
 [-3.68812314e-01  1.64185492e+00]
 [-3.53669722e-01  1.66474895e+00]
 [-3.34386147e-01  1.66925044e+00]
 [-3.14380278e-01  1.66999380e+00]
 [-2.96923640e-01  1.68480392e+00]
 [-2.81218523e-01  1.71193461e+00]
 [-2.62927320e-01  1.72583170e+00]
 [-2.41552566e-01  1.71961351e+00]
 [-2.20368058e-01  1.71320967e+00]
 [-1.99123492e-01  1.70447686e+00]
 [-1.77523683e-01  1.68988263e+00]
